Date	Sales	StoreID	
11/13/2014	$12.20 	521	
11/20/2014	$181.80 	521	
8/4/2014	$243.60 	500	
3/18/2014	$113.10 	532	
5/1/2015	$16.90 	500	
5/30/2015	$210.60 	555	
6/10/2015	$139.30 	555	
11/16/2015	$167.90 	532	
11/23/2014	$245.90 	532	
8/4/2014	$27.30 	578	
7/24/2015	$96.20 	578	
8/29/2015	$143.70 	500	
3/31/2015	$73.80 	521	
8/28/2014	$57.40 	521	
3/26/2015	$183.60 	532	
9/27/2014	$200.90 	578	
11/3/2014	$33.10 	532	
11/10/2015	$251.70 	500	
11/26/2014	$30.20 	532	
4/28/2015	$33.60 	555	
12/28/2015	$30.70 	555	
4/23/2015	$215.80 	500	
7/30/2014	$81.90 	521	
9/30/2014	$24.80 	578	
2/13/2014	$115.40 	500	
11/22/2015	$35.00 	532	
8/10/2015	$46.90 	532	
2/28/2014	$121.90 	500	
3/3/2014	$181.10 	521	
7/23/2015	$185.40 	500	
3/31/2014	$94.70 	500	
5/20/2015	$84.10 	521	
9/11/2015	$188.10 	532	
3/17/2014	$35.10 	500	
2/3/2014	$124.50 	521	
11/28/2014	$147.60 	521	
9/20/2014	$144.10 	521	
2/17/2014	$242.40 	532	
9/25/2014	$84.50 	500	
4/18/2015	$215.50 	555	
1/22/2015	$107.00 	578	
4/10/2015	$79.90 	532	
2/2/2015	$32.80 	532	
12/27/2015	$28.50 	532	
10/29/2014	$174.70 	532	
4/15/2014	$64.90 	532	
10/13/2014	$29.30 	500	
10/1/2014	$124.90 	532	
6/2/2015	$25.50 	521	
1/21/2014	$15.70 	500	
10/3/2014	$242.10 	500	
8/9/2015	$77.60 	532	
4/11/2014	$52.30 	555	
3/28/2014	$249.40 	500	
8/23/2014	$208.10 	555	
6/9/2014	$239.30 	500	
10/4/2015	$136.10 	555	
1/13/2015	$77.40 	578	
7/22/2014	$229.70 	578	
6/28/2015	$76.70 	521	
2/24/2015	$37.70 	578	
1/19/2014	$156.30 	521	
6/11/2014	$178.30 	500	
10/6/2015	$214.40 	555	
11/25/2014	$207.20 	500	
9/8/2014	$31.60 	578	
9/14/2014	$170.80 	521	
4/14/2015	$195.90 	578	
5/24/2014	$230.20 	555	
4/16/2015	$181.50 	521	
11/21/2015	$97.50 	500	
11/21/2015	$235.40 	521	
4/10/2015	$200.40 	500	
12/26/2015	$57.60 	500	
6/13/2015	$61.70 	532	
7/9/2014	$72.80 	555	
2/3/2014	$41.50 	578	
8/4/2015	$92.80 	521	
6/10/2014	$221.60 	532	
10/25/2015	$250.40 	578	
2/14/2014	$250.30 	521	
10/14/2015	$204.50 	521	
8/15/2015	$24.40 	521	
12/8/2014	$186.10 	555	
3/23/2015	$143.90 	555	
7/26/2015	$199.10 	532	
6/28/2014	$139.80 	521	
4/29/2015	$46.90 	500	
11/3/2014	$109.40 	521	
9/18/2014	$210.10 	521	
2/3/2014	$85.30 	532	
10/5/2014	$59.30 	555	
10/6/2014	$85.40 	500	
3/10/2015	$132.00 	521	
4/17/2015	$227.10 	500	
3/3/2015	$179.90 	578	
12/14/2015	$140.20 	578	
1/19/2014	$121.10 	578	
4/17/2014	$105.00 	555	
6/10/2015	$242.60 	578	
8/21/2015	$244.50 	532	
5/13/2015	$166.10 	532	
7/4/2014	$220.30 	521	
3/19/2015	$235.00 	532	
12/28/2014	$40.20 	555	
7/9/2015	$91.40 	521	
4/30/2015	$52.30 	500	
11/10/2014	$80.50 	578	
10/10/2015	$241.60 	500	
2/4/2014	$69.90 	521	
6/23/2014	$64.30 	521	
2/9/2015	$145.50 	578	
3/14/2015	$241.50 	578	
3/29/2014	$55.00 	532	
7/16/2015	$70.00 	500	
12/17/2014	$16.30 	555	
4/6/2015	$210.90 	521	
6/14/2014	$47.80 	532	
4/24/2015	$145.90 	578	
1/26/2014	$201.50 	500	
10/27/2015	$140.50 	532	
7/25/2015	$28.90 	532	
8/16/2014	$146.50 	532	
3/23/2015	$244.70 	521	
10/22/2015	$162.00 	555	
11/11/2014	$123.30 	521	
7/11/2014	$114.00 	555	
4/27/2015	$75.40 	521	
1/14/2014	$128.60 	521	
8/1/2014	$139.20 	500	
7/30/2014	$40.70 	532	
5/22/2015	$211.10 	578	
8/9/2015	$51.00 	532	
1/14/2015	$199.20 	532	
3/14/2015	$60.00 	578	
5/14/2015	$239.00 	578	
9/6/2015	$108.80 	555	
5/25/2014	$221.50 	578	
7/8/2014	$110.20 	521	
11/2/2014	$49.10 	521	
1/9/2014	$171.00 	500	
6/11/2014	$50.80 	521	
12/27/2015	$51.10 	578	
6/19/2015	$78.00 	500	
3/31/2014	$190.80 	555	
5/12/2014	$38.70 	500	
11/8/2014	$170.40 	532	
4/12/2014	$204.90 	532	
5/20/2014	$54.30 	555	
8/11/2014	$137.50 	500	
4/10/2015	$240.40 	578	
3/20/2014	$192.30 	578	
10/4/2014	$47.30 	555	
12/14/2014	$154.50 	500	
4/19/2015	$242.00 	555	
2/21/2014	$225.40 	500	
2/2/2015	$85.40 	555	
2/27/2015	$251.00 	521	
7/11/2014	$100.80 	521	
5/27/2014	$159.40 	500	
12/10/2015	$184.30 	532	
11/18/2014	$60.50 	578	
5/29/2014	$247.60 	532	
12/26/2014	$189.00 	578	
6/26/2015	$5.80 	532	
4/9/2014	$227.10 	578	
12/20/2015	$141.00 	555	
1/14/2014	$260.20 	555	
1/18/2014	$159.00 	578	
2/20/2015	$156.60 	555	
10/26/2015	$240.60 	578	
9/26/2014	$107.00 	521	
10/28/2015	$226.30 	578	
2/5/2015	$201.60 	555	
1/29/2014	$37.20 	532	
1/19/2014	$249.00 	521	
6/5/2015	$203.60 	578	
6/5/2014	$30.70 	532	
6/17/2014	$136.00 	521	
1/19/2014	$71.90 	578	
3/7/2014	$61.60 	555	
9/6/2015	$14.80 	578	
9/13/2014	$83.50 	555	
7/28/2015	$243.10 	578	
2/4/2015	$32.10 	578	
9/20/2014	$238.80 	532	
11/5/2015	$174.60 	555	
5/12/2014	$90.00 	555	
7/14/2015	$174.60 	500	
8/13/2015	$169.20 	555	
2/17/2015	$107.90 	500	
11/16/2015	$60.90 	532	
2/1/2014	$73.70 	521	
5/14/2015	$72.80 	532	
3/2/2014	$162.40 	555	
2/6/2015	$121.60 	500	
1/1/2015	$101.40 	578	
8/26/2014	$203.80 	500	
4/21/2015	$18.50 	500	
5/18/2014	$75.20 	532	
9/26/2015	$107.80 	500	
6/5/2014	$160.90 	521	
8/13/2014	$95.40 	578	
12/25/2015	$103.30 	555	
6/3/2015	$255.20 	500	
5/28/2015	$112.50 	532	
6/23/2015	$191.50 	555	
2/6/2014	$248.90 	555	
6/30/2015	$158.30 	555	
5/10/2015	$249.80 	500	
8/29/2015	$152.40 	578	
8/27/2015	$257.10 	555	
6/9/2014	$81.70 	578	
7/21/2014	$35.50 	521	
11/17/2014	$41.40 	555	
2/24/2014	$100.90 	532	
12/14/2015	$66.60 	578	
8/6/2014	$146.70 	532	
6/11/2014	$256.00 	500	
7/1/2015	$216.40 	578	
4/23/2014	$61.80 	521	
7/2/2015	$243.80 	500	
9/24/2014	$209.70 	521	
10/20/2014	$213.30 	500	
10/1/2014	$208.40 	500	
3/8/2014	$31.20 	532	
5/11/2015	$151.70 	500	
4/19/2014	$4.30 	500	
8/27/2015	$71.80 	500	
4/24/2014	$84.90 	521	
11/26/2015	$243.80 	532	
1/11/2015	$195.90 	500	
10/17/2014	$70.60 	500	
6/29/2015	$20.60 	521	
11/14/2015	$225.40 	532	
12/11/2015	$238.60 	555	
7/16/2015	$108.60 	532	
3/3/2015	$174.20 	521	
5/27/2014	$161.50 	578	
2/26/2014	$48.60 	500	
7/13/2014	$161.70 	500	
12/26/2015	$211.20 	500	
7/23/2014	$180.30 	578	
6/4/2014	$24.70 	578	
6/11/2014	$219.30 	500	
7/21/2014	$108.70 	578	
8/30/2015	$47.30 	500	
5/17/2015	$92.00 	500	
6/12/2014	$186.00 	578	
1/19/2014	$71.00 	578	
3/10/2014	$198.50 	578	
9/11/2014	$93.50 	521	
5/24/2014	$224.60 	532	
9/19/2015	$166.50 	500	
3/29/2015	$129.10 	500	
6/9/2014	$54.40 	521	
10/20/2014	$94.30 	555	
10/2/2014	$58.00 	521	
1/31/2014	$98.10 	521	
3/14/2015	$218.90 	555	
3/21/2015	$189.60 	555	
12/3/2014	$129.70 	500	
12/14/2014	$151.40 	555	
6/2/2014	$232.60 	521	
12/31/2015	$35.60 	500	
9/1/2014	$19.70 	555	
2/9/2014	$28.00 	532	
9/4/2014	$162.20 	521	
7/6/2014	$169.00 	521	
2/19/2015	$43.00 	555	
10/7/2015	$76.50 	521	
3/7/2015	$93.70 	532	
4/12/2014	$222.90 	521	
2/26/2015	$61.70 	555	
3/16/2015	$60.90 	521	
11/26/2014	$124.10 	500	
10/3/2015	$55.20 	578	
10/27/2014	$4.70 	555	
7/17/2015	$190.50 	555	
12/11/2015	$99.10 	500	
10/28/2015	$77.90 	555	
12/24/2014	$191.40 	578	
7/9/2014	$121.50 	555	
9/15/2015	$229.90 	500	
2/18/2014	$32.20 	521	
2/20/2014	$39.30 	555	
11/3/2015	$181.90 	555	
3/18/2015	$162.90 	500	
11/12/2014	$51.60 	521	
2/18/2014	$249.60 	521	
10/2/2015	$184.00 	521	
11/8/2014	$122.50 	500	
8/14/2014	$124.70 	500	
5/28/2015	$205.50 	532	
11/19/2015	$190.50 	500	
11/1/2014	$196.60 	500	
12/30/2014	$171.70 	555	
2/28/2015	$246.30 	521	
12/12/2015	$114.90 	578	
2/11/2015	$93.90 	578	
4/29/2015	$247.40 	532	
9/25/2015	$108.40 	521	
9/3/2015	$36.60 	532	
11/29/2015	$42.60 	555	
9/14/2015	$82.60 	578	
7/14/2014	$177.70 	532	
2/25/2015	$162.20 	521	
10/12/2014	$171.00 	532	
4/19/2015	$72.90 	521	
4/26/2015	$216.30 	555	
1/10/2015	$111.30 	521	
3/7/2015	$89.20 	578	
6/23/2015	$264.10 	555	
12/18/2014	$138.40 	521	
9/26/2015	$208.20 	500	
7/10/2015	$204.30 	578	
3/1/2015	$139.40 	521	
6/24/2015	$207.20 	555	
6/2/2015	$187.00 	521	
2/22/2014	$144.80 	555	
11/4/2015	$86.70 	521	
10/24/2015	$18.10 	500	
12/17/2014	$100.00 	578	
10/2/2015	$27.60 	500	
7/13/2014	$16.60 	532	
3/28/2015	$87.00 	532	
11/28/2014	$241.80 	532	
3/6/2014	$132.50 	578	
10/11/2015	$182.00 	500	
2/10/2014	$38.80 	555	
11/13/2014	$157.40 	521	
8/31/2015	$183.40 	532	
12/19/2015	$158.70 	532	
8/14/2015	$180.20 	500	
11/8/2015	$147.60 	555	
6/6/2014	$118.40 	521	
4/1/2014	$238.90 	500	
12/29/2015	$243.00 	532	
9/18/2015	$84.00 	500	
8/15/2014	$35.90 	521	
7/18/2015	$96.30 	578	
3/18/2015	$138.20 	521	
3/24/2014	$148.00 	532	
4/24/2014	$18.40 	521	
6/30/2014	$209.50 	555	
6/25/2015	$139.40 	521	
3/25/2014	$117.60 	521	
7/23/2015	$220.90 	555	
8/4/2014	$200.10 	555	
3/15/2014	$90.10 	578	
4/23/2015	$89.00 	532	
8/19/2015	$225.50 	555	
5/13/2014	$256.60 	521	
5/31/2014	$149.90 	532	
1/23/2014	$107.90 	500	
9/14/2015	$183.30 	521	
11/5/2014	$214.00 	578	
12/22/2015	$18.50 	500	
8/16/2015	$207.10 	532	
1/24/2014	$84.60 	500	
8/14/2015	$105.50 	521	
3/11/2014	$22.20 	521	
12/22/2015	$59.70 	521	
5/15/2014	$79.00 	532	
4/26/2014	$94.50 	500	
1/18/2014	$175.10 	578	
10/27/2014	$228.10 	578	
11/21/2014	$84.80 	500	
11/29/2014	$114.30 	521	
3/22/2014	$221.40 	521	
10/31/2014	$78.90 	532	
4/28/2014	$199.20 	578	
5/27/2015	$47.20 	555	
1/4/2015	$16.00 	532	
9/26/2014	$64.60 	532	
6/29/2014	$76.10 	521	
1/29/2015	$135.60 	532	
9/5/2015	$158.70 	500	
10/6/2014	$69.30 	500	
12/14/2015	$130.10 	578	
11/24/2015	$95.30 	532	
9/30/2015	$80.20 	500	
2/8/2015	$252.10 	500	
5/31/2015	$12.80 	578	
6/5/2014	$100.10 	500	
1/21/2014	$41.00 	532	
10/23/2015	$179.70 	532	
5/8/2015	$211.10 	500	
11/13/2014	$146.50 	532	
3/15/2015	$168.70 	578	
6/12/2014	$110.90 	532	
3/18/2015	$144.30 	578	
2/22/2014	$72.50 	532	
10/3/2015	$62.00 	555	
4/4/2015	$87.70 	532	
10/30/2015	$129.80 	555	
8/10/2014	$115.00 	578	
2/17/2014	$221.30 	521	
10/14/2015	$38.00 	500	
5/2/2014	$169.40 	555	
12/30/2014	$53.50 	578	
3/29/2014	$197.20 	532	
4/26/2014	$66.70 	532	
2/17/2015	$111.50 	555	
8/13/2014	$222.30 	532	
8/28/2015	$103.10 	521	
7/25/2015	$99.90 	500	
6/22/2015	$201.60 	500	
8/25/2014	$225.20 	500	
9/9/2014	$146.40 	500	
4/17/2015	$159.60 	521	
10/25/2014	$114.20 	521	
7/7/2014	$89.40 	500	
12/22/2014	$253.20 	500	
11/12/2014	$83.80 	521	
9/2/2014	$208.70 	532	
10/25/2014	$255.60 	532	
8/16/2015	$167.20 	578	
9/3/2014	$249.30 	578	
2/1/2015	$17.90 	532	
9/14/2015	$150.00 	578	
10/20/2014	$171.80 	532	
6/20/2015	$96.10 	578	
5/22/2015	$36.90 	500	
7/9/2014	$32.30 	578	
11/6/2014	$11.90 	532	
12/8/2014	$85.00 	521	
3/19/2014	$239.60 	500	
5/30/2014	$53.40 	578	
3/30/2015	$247.30 	500	
5/20/2015	$45.70 	521	
11/13/2014	$197.10 	578	
11/5/2014	$62.80 	500	
3/11/2014	$225.10 	555	
11/23/2014	$66.40 	555	
5/1/2015	$36.50 	532	
12/23/2015	$258.00 	521	
5/7/2014	$48.70 	521	
12/3/2015	$11.00 	521	
3/25/2014	$37.10 	578	
1/21/2015	$252.80 	578	
4/4/2014	$100.30 	578	
5/28/2014	$228.60 	500	
11/1/2015	$117.40 	578	
11/21/2014	$232.00 	555	
9/30/2014	$45.50 	500	
3/5/2014	$141.10 	500	
11/10/2014	$81.20 	578	
9/6/2014	$56.10 	500	
5/12/2014	$57.20 	532	
9/21/2015	$201.00 	500	
4/24/2014	$44.60 	578	
1/25/2015	$184.40 	578	
3/12/2015	$90.80 	500	
7/6/2014	$149.70 	578	
9/11/2015	$120.20 	555	
4/6/2014	$19.00 	532	
3/1/2014	$153.90 	521	
8/10/2014	$22.00 	555	
3/1/2015	$189.90 	532	
8/7/2014	$224.00 	578	
10/23/2014	$174.50 	532	
6/29/2015	$18.90 	500	
4/1/2014	$6.70 	521	
12/3/2015	$67.60 	555	
4/17/2014	$240.60 	532	
4/17/2015	$22.70 	521	
5/18/2014	$156.70 	555	
12/31/2015	$228.70 	555	
2/26/2014	$256.40 	500	
9/22/2014	$107.80 	555	
8/27/2014	$255.30 	555	
3/3/2015	$102.00 	555	
8/30/2014	$156.10 	521	
11/23/2015	$112.70 	555	
9/7/2015	$32.30 	532	
7/27/2014	$107.90 	532	
6/7/2015	$74.90 	521	
5/3/2015	$196.10 	578	
6/7/2015	$38.30 	532	
12/16/2015	$108.90 	532	
9/16/2014	$253.80 	578	
1/5/2014	$188.60 	532	
3/1/2014	$247.10 	500	
2/2/2014	$86.80 	521	
11/9/2014	$127.20 	532	
5/14/2015	$182.70 	578	
12/22/2014	$189.90 	532	
8/13/2015	$198.80 	578	
4/16/2015	$43.50 	578	
3/5/2014	$84.50 	532	
8/12/2015	$143.80 	555	
12/5/2014	$232.50 	555	
12/4/2015	$169.30 	578	
1/2/2015	$81.10 	521	
1/26/2014	$39.10 	532	
1/29/2015	$110.90 	578	
9/11/2014	$226.90 	555	
12/1/2015	$211.10 	500	
4/16/2014	$131.10 	555	
2/16/2014	$120.50 	521	
11/8/2015	$178.30 	500	
3/11/2014	$115.90 	521	
10/8/2015	$257.20 	555	
9/1/2014	$236.60 	555	
7/17/2014	$20.60 	555	
5/5/2014	$126.00 	521	
5/4/2015	$30.20 	555	
6/9/2014	$24.90 	521	
4/23/2015	$108.70 	578	
6/14/2014	$252.10 	532	
6/30/2014	$187.60 	555	
6/25/2015	$56.20 	578	
10/23/2014	$217.00 	532	
5/1/2015	$204.10 	500	
12/22/2015	$185.90 	521	
1/6/2015	$17.90 	532	
5/29/2015	$150.30 	555	
11/8/2015	$192.90 	532	
5/29/2015	$246.80 	555	
9/19/2015	$239.60 	500	
7/2/2014	$105.70 	521	
3/8/2015	$96.80 	578	
4/19/2014	$9.40 	532	
10/25/2015	$49.70 	532	
4/1/2014	$80.50 	578	
2/9/2014	$102.60 	521	
2/27/2015	$144.80 	500	
1/24/2015	$83.20 	521	
12/8/2014	$29.50 	521	
7/22/2014	$207.70 	500	
3/29/2015	$181.10 	532	
6/24/2014	$206.70 	578	
11/8/2015	$191.10 	532	
6/10/2015	$5.60 	555	
6/26/2014	$99.90 	532	
11/16/2014	$241.40 	578	
3/23/2015	$13.40 	500	
4/30/2014	$225.30 	521	
7/7/2014	$138.00 	578	
6/12/2015	$120.60 	521	
3/30/2014	$108.00 	500	
3/10/2014	$108.40 	578	
3/31/2015	$109.20 	578	
8/31/2014	$229.70 	532	
2/4/2014	$64.10 	500	
10/6/2014	$191.80 	532	
10/5/2014	$257.90 	532	
8/27/2014	$212.90 	500	
4/24/2014	$98.40 	578	
7/15/2014	$255.30 	578	
11/3/2015	$49.60 	578	
12/7/2015	$85.20 	578	
9/22/2015	$233.30 	555	
4/6/2015	$69.90 	578	
9/2/2014	$149.20 	521	
2/21/2015	$226.70 	521	
11/6/2015	$107.50 	532	
6/18/2014	$170.80 	578	
5/26/2015	$58.60 	578	
3/27/2014	$205.80 	521	
6/20/2015	$133.00 	578	
2/3/2014	$185.00 	555	
4/25/2014	$150.30 	578	
4/21/2014	$193.70 	578	
3/20/2015	$81.80 	532	
9/26/2014	$119.50 	578	
11/12/2015	$209.00 	500	
2/9/2015	$116.70 	578	
1/3/2014	$167.40 	555	
1/11/2014	$232.20 	555	
10/14/2015	$244.00 	532	
4/9/2015	$30.20 	500	
7/28/2015	$89.90 	532	
6/30/2014	$174.60 	532	
10/9/2015	$149.80 	555	
1/26/2014	$77.10 	555	
1/9/2014	$78.00 	521	
2/11/2015	$226.30 	578	
10/12/2014	$104.10 	578	
11/24/2014	$110.90 	555	
3/6/2014	$140.20 	532	
6/15/2015	$32.40 	578	
9/30/2015	$221.60 	532	
1/14/2015	$189.20 	500	
8/10/2015	$219.50 	555	
6/25/2015	$41.60 	521	
11/15/2015	$49.60 	532	
12/13/2014	$97.40 	500	
9/10/2015	$220.60 	555	
6/15/2014	$192.60 	521	
10/5/2015	$14.60 	578	
7/27/2014	$32.20 	532	
3/11/2015	$257.20 	555	
11/10/2014	$161.90 	532	
1/20/2014	$138.10 	578	
12/12/2014	$238.70 	500	
4/30/2014	$182.20 	500	
5/18/2014	$28.40 	532	
4/14/2014	$216.60 	555	
6/12/2014	$9.80 	578	
9/12/2014	$119.50 	555	
11/9/2015	$188.10 	521	
9/30/2015	$42.40 	555	
10/22/2014	$114.70 	578	
12/15/2014	$64.60 	578	
11/25/2015	$104.20 	578	
9/25/2014	$34.30 	521	
8/8/2015	$41.50 	555	
11/28/2014	$91.30 	521	
8/12/2015	$250.30 	578	
12/11/2015	$35.40 	532	
8/30/2015	$118.90 	521	
1/27/2014	$106.30 	555	
9/23/2014	$34.20 	555	
6/27/2014	$24.40 	578	
11/30/2014	$154.40 	521	
8/12/2014	$105.20 	500	
9/29/2014	$150.30 	578	
9/24/2014	$118.70 	555	
9/9/2014	$169.90 	555	
7/4/2015	$220.20 	532	
5/30/2014	$96.30 	578	
1/13/2014	$189.80 	500	
10/28/2014	$109.70 	532	
5/29/2015	$175.90 	555	
3/5/2015	$218.60 	578	
2/18/2015	$28.70 	521	
8/31/2015	$136.20 	521	
12/31/2015	$195.80 	500	
11/7/2014	$241.00 	532	
12/6/2015	$114.80 	578	
11/23/2015	$175.30 	578	
10/2/2014	$95.80 	532	
7/24/2014	$36.10 	532	
1/28/2015	$159.70 	532	
7/29/2015	$72.70 	578	
6/16/2014	$75.50 	500	
4/15/2015	$200.80 	578	
9/3/2014	$99.40 	521	
11/6/2014	$101.60 	521	
12/18/2015	$130.50 	578	
8/8/2015	$256.40 	578	
12/4/2014	$86.50 	555	
1/15/2014	$206.30 	532	
12/16/2014	$229.90 	555	
1/10/2015	$115.00 	532	
10/28/2015	$185.80 	578	
1/21/2014	$108.40 	521	
12/17/2014	$46.20 	532	
1/17/2014	$90.40 	521	
6/15/2014	$168.80 	521	
6/8/2015	$13.40 	500	
8/7/2014	$173.10 	578	
3/3/2015	$218.00 	578	
10/28/2014	$183.20 	500	
3/24/2015	$225.80 	578	
6/19/2015	$89.20 	521	
2/10/2015	$148.30 	555	
6/7/2015	$144.70 	578	
6/9/2015	$162.20 	555	
10/25/2014	$54.40 	500	
4/25/2014	$104.00 	578	
7/11/2014	$81.40 	521	
3/25/2014	$153.10 	500	
5/21/2015	$177.70 	500	
3/18/2014	$45.50 	500	
3/1/2015	$32.40 	555	
3/12/2014	$199.60 	521	
1/15/2014	$44.30 	532	
3/18/2014	$186.80 	555	
4/22/2015	$24.60 	578	
10/30/2015	$178.40 	555	
4/9/2014	$21.70 	555	
4/26/2014	$186.20 	500	
6/28/2014	$146.10 	532	
11/26/2014	$122.30 	532	
3/28/2015	$201.80 	500	
1/4/2014	$253.70 	578	
3/13/2015	$50.90 	532	
6/27/2015	$57.70 	500	
11/17/2014	$81.80 	532	
10/20/2015	$24.40 	532	
12/23/2014	$192.30 	532	
12/23/2015	$107.10 	532	
11/9/2014	$181.10 	500	
1/6/2015	$249.20 	555	
9/13/2015	$63.30 	500	
10/29/2014	$226.70 	521	
12/6/2015	$205.40 	521	
6/30/2014	$130.80 	532	
9/12/2014	$152.20 	555	
4/14/2014	$43.30 	500	
5/15/2014	$88.00 	532	
1/28/2014	$88.20 	521	
1/14/2015	$108.60 	521	
5/21/2015	$215.90 	532	
11/23/2015	$250.40 	500	
7/12/2014	$89.30 	578	
12/30/2014	$72.20 	532	
12/10/2015	$104.00 	578	
1/3/2015	$187.10 	532	
7/31/2015	$106.80 	521	
10/22/2015	$190.40 	578	
2/24/2015	$79.40 	578	
6/9/2015	$195.10 	555	
11/7/2015	$135.90 	521	
6/14/2014	$67.50 	500	
5/4/2015	$26.10 	555	
2/22/2014	$170.20 	521	
9/5/2014	$15.20 	500	
2/14/2014	$185.90 	532	
9/26/2014	$166.30 	521	
12/13/2014	$74.90 	521	
6/12/2015	$193.90 	578	
12/30/2015	$197.70 	532	
2/14/2015	$251.60 	578	
8/30/2014	$77.20 	578	
2/16/2014	$80.00 	555	
5/9/2015	$92.50 	578	
8/1/2015	$6.00 	500	
5/24/2014	$247.40 	521	
3/31/2015	$185.20 	578	
12/13/2015	$242.70 	555	
6/25/2015	$215.70 	500	
9/16/2015	$109.40 	500	
4/9/2014	$47.80 	500	
10/25/2014	$30.80 	500	
9/15/2015	$157.70 	578	
5/29/2014	$111.30 	500	
3/13/2015	$44.30 	500	
3/22/2014	$195.80 	521	
6/3/2015	$46.50 	555	
8/6/2015	$15.40 	555	
5/17/2014	$66.70 	555	
6/2/2014	$3.50 	532	
8/23/2014	$252.90 	500	
1/23/2014	$58.80 	555	
6/24/2015	$196.50 	578	
9/14/2014	$63.20 	500	
12/7/2014	$139.80 	500	
5/6/2015	$130.00 	578	
8/5/2015	$9.20 	578	
3/9/2015	$226.50 	500	
6/13/2014	$171.30 	500	
5/18/2014	$87.80 	555	
12/16/2015	$143.60 	555	
9/25/2014	$115.30 	521	
2/10/2014	$97.90 	578	
1/27/2015	$118.70 	521	
6/18/2014	$33.70 	555	
11/19/2015	$166.60 	532	
10/24/2014	$25.70 	578	
11/25/2014	$71.90 	500	
10/29/2014	$56.10 	555	
5/9/2015	$110.10 	500	
2/23/2015	$125.90 	555	
1/16/2014	$230.50 	521	
12/8/2014	$125.20 	555	
1/3/2015	$91.50 	521	
11/12/2015	$206.30 	500	
12/20/2014	$209.10 	500	
7/30/2015	$196.70 	521	
8/30/2014	$246.20 	532	
5/29/2014	$37.50 	521	
4/12/2014	$132.00 	500	
2/3/2015	$35.60 	578	
7/31/2014	$155.10 	500	
1/28/2015	$45.60 	578	
11/27/2015	$100.20 	500	
4/16/2014	$229.20 	555	
7/9/2014	$143.90 	578	
4/26/2014	$132.00 	521	
1/21/2015	$64.20 	521	
2/24/2014	$94.90 	521	
8/23/2015	$95.60 	532	
8/25/2015	$113.70 	500	
12/14/2015	$184.20 	532	
5/30/2014	$202.10 	500	
4/25/2015	$113.50 	532	
12/24/2014	$207.90 	521	
12/28/2014	$176.80 	578	
7/26/2014	$241.90 	578	
12/2/2014	$185.90 	532	
2/13/2015	$167.00 	578	
7/1/2015	$69.80 	521	
9/5/2014	$196.50 	578	
7/5/2014	$126.40 	521	
2/4/2015	$130.70 	521	
6/4/2014	$221.90 	532	
1/7/2014	$144.60 	555	
6/9/2014	$53.40 	500	
3/9/2015	$70.50 	578	
3/1/2015	$153.50 	500	
11/10/2015	$35.60 	521	
6/2/2014	$13.40 	500	
7/2/2015	$113.70 	521	
11/13/2015	$201.60 	555	
11/14/2015	$234.10 	521	
6/20/2015	$27.00 	500	
6/1/2015	$74.80 	521	
7/10/2014	$115.00 	500	
10/10/2014	$103.60 	555	
8/28/2015	$230.40 	555	
3/18/2014	$59.60 	500	
6/12/2015	$156.90 	521	
5/19/2015	$84.30 	532	
4/24/2015	$73.00 	578	
7/19/2015	$163.10 	521	
